source,target,source_type,target_type,mu_forward,mu_backward,abs_diff,rel_diff,forward_dominant
RIM,URY,interneuron,sensory,0.0020130791784747676,0.001946992957383948,6.608622109081962e-05,0.016688135254807866,True
SIA,CEP,motor,sensory,4.96217415192455e-05,0.00011561258559834727,6.599084407910176e-05,0.3993770864236295,False
PVT,RIC,interneuron,interneuron,0.0001743566282060308,0.00024030709151026151,6.59504633042307e-05,0.15904561760259955,False
PVW,RMH,interneuron,motor,1.7654883113892423e-06,6.770626324710102e-05,6.594077493571177e-05,0.9491725563150484,False
SAA,RIC,motor,interneuron,0.0002417668778997919,0.0001761376040346312,6.562927386516071e-05,0.1570436810273096,True
ADF,SAB,sensory,motor,8.116790334870741e-06,7.373594106394137e-05,6.561915072907063e-05,0.8016723381180793,False
RMG,RIS,interneuron,interneuron,2.14687583966667e-05,8.703536321492446e-05,6.556660481825776e-05,0.6042769935068913,False
ADL,FLP,unknown,sensory,0.00014351709379700907,0.0002090641675810558,6.554707378404672e-05,0.18590623601842104,False
ASK,SAB,sensory,motor,0.00014819521561521977,0.0002136256747297698,6.543045911455004e-05,0.18083654862633403,False
LUA,OLL,interneuron,unknown,0.0003738312434678241,0.0003084417813904286,6.53894620773955e-05,0.09584059476324916,True
PHA,AUA,sensory,unknown,0.00012112047308631553,0.00018650277283448191,6.538229974816638e-05,0.21254010989465055,False
DVC,AVK,interneuron,interneuron,0.00040654064090300346,0.0003411864852754938,6.535415562750968e-05,0.08740373941112632,True
RMF,URY,motor,sensory,7.862176199659376e-05,1.3290667688811427e-05,6.533109430778233e-05,0.710796390126517,True
AUA,ASH,unknown,sensory,0.0003880268538007296,0.0004533201619291522,6.529330812842264e-05,0.07760567179431009,False
ASE,SAB,sensory,motor,0.00011649034248905202,5.1216838923166896e-05,6.527350356588511e-05,0.38921090972457545,True
PVW,ALA,interneuron,interneuron,6.185252708264414e-05,0.00012710900222871884,6.525647514607471e-05,0.3453424665308524,False
SIA,RIV,motor,motor,6.688189518261961e-05,0.00013194868408356739,6.506678890094777e-05,0.32724722935658646,False
ALA,CEP,interneuron,sensory,0.00012459312180035056,0.00018962006733635138,6.502694553600082e-05,0.20695160829976908,False
PVQ,RIS,interneuron,interneuron,2.8678407802173316e-05,9.367111579892751e-05,6.49927079967542e-05,0.5312048054079133,False
AUA,AFD,unknown,sensory,7.27456409531883e-05,7.77912277891864e-06,6.496651817426966e-05,0.8067883031805263,True
PVR,BAG,unknown,sensory,0.00028883516349521843,0.00022395907745566813,6.48760860395503e-05,0.12651482447963264,True
URB,SMD,sensory,motor,3.4093171895137454e-05,9.892019148193634e-05,6.482701958679889e-05,0.48737186402720556,False
AIZ,OLQ,interneuron,sensory,0.00026352002285669467,0.0001987069909121217,6.481303194457298e-05,0.14021901791115898,True
AIN,ADA,interneuron,interneuron,2.936594793931869e-05,9.408438241999216e-05,6.471843448067347e-05,0.524246325365623,False
SAA,URB,motor,sensory,5.660277492414501e-07,6.518295916384335e-05,6.461693141460189e-05,0.9827806658367815,False
ADE,AVA,sensory,interneuron,0.00046450158397233086,0.0005290198566567051,6.451827268437427e-05,0.06493897720982005,False
IL2,ASG,sensory,sensory,7.265936039014796e-05,0.00013711058415669298,6.445122376654502e-05,0.3072470328438781,False
AIM,BAG,interneuron,sensory,2.773734333699366e-05,9.177152801798182e-05,6.403418468098816e-05,0.5358106923269258,False
AIB,SAA,interneuron,motor,6.704316827383291e-05,0.00013100322861532156,6.396006034148865e-05,0.3229547674215451,False
RIV,AIB,motor,interneuron,6.323741717724997e-07,6.458645431179e-05,6.395408014001751e-05,0.9806061158477363,False
ASE,ADA,sensory,interneuron,0.00010149428376162551,3.755514527034861e-05,6.39391384912769e-05,0.4598299536604273,True
PVN,RIP,interneuron,interneuron,8.324992983135664e-06,7.224252792823215e-05,6.391753494509648e-05,0.7933402305054031,False
BAG,AQR,sensory,unknown,0.00013260066608758556,0.0001963255503931389,6.372488430555335e-05,0.1937360469887721,False
RMF,AIA,motor,interneuron,0.00014435629111458656,0.0002080727838943472,6.371649277976064e-05,0.18079233303583758,False
ASE,CEP,sensory,sensory,7.089618146707379e-06,7.073141751160107e-05,6.364179936489369e-05,0.8177958189190097,False
PHC,FLP,sensory,sensory,7.668763653703708e-05,0.00014020272394157932,6.351508740454224e-05,0.29284408020704217,False
AVD,SMB,interneuron,motor,0.0001492892967862369,8.585541287828158e-05,6.343388390795532e-05,0.2697651885170528,True
DVA,RMF,sensory,motor,8.209488353348813e-05,1.8806341667357102e-05,6.328854186613103e-05,0.6272320184115965,True
DVA,RMG,sensory,interneuron,5.10767779428218e-05,0.00011421721250595994,6.314043456313814e-05,0.3819884570084066,False
AVJ,RMD,interneuron,motor,0.00010817755464625882,0.00017129466047002248,6.311710582376366e-05,0.22584385790593337,False
URY,ASJ,sensory,sensory,1.545940552241132e-05,7.837977341109114e-05,6.292036788867982e-05,0.6705120563987627,False
AIN,AQR,interneuron,unknown,0.00016344423043419793,0.00022636310412248322,6.291887368828529e-05,0.1614101428307581,False
SAA,ASK,motor,sensory,0.00016640556841073523,0.00022927715386587404,6.287158545513881e-05,0.15889389661496928,False
ASG,FLP,sensory,sensory,3.699346304230642e-05,9.97192276770558e-05,6.272576463474938e-05,0.45881416292283844,False
AVE,SAA,interneuron,motor,0.0001020847510387197,3.9617539862250556e-05,6.246721117646913e-05,0.44083385452631346,True
SAA,URX,motor,sensory,1.2335570077539179e-05,7.473859622917305e-05,6.240302615163387e-05,0.7166643923455426,False
FLP,ADA,sensory,interneuron,5.7688000344274624e-05,0.00012009064174107572,6.24026413968011e-05,0.35101295388197773,False
PVN,RMF,interneuron,motor,7.679685459064083e-06,7.00566315920712e-05,6.237694613300712e-05,0.8024160168325658,False
